#disks/node,#nodes/rack,#racks,#total disks,#failures
1,1,3775,3947,188
1,2,1920,4292,467
1,3,748,2331,86
1,4,1428,5891,190
1,5,276,1428,61
1,6,476,2950,106
1,7,131,949,26
1,8,689,5607,133
1,9,105,968,27
1,10,261,2692,122
1,11,83,926,32
1,12,1015,12440,347
1,13,85,1193,101
1,14,83,1251,101
1,15,59,897,11
1,16,809,13143,193
1,17,22,377,3
1,18,26,472,5
1,19,33,632,8
1,20,350,7069,72
1,21,32,675,9
1,22,16,353,13
1,23,36,840,18
1,24,380,9169,138
1,28,36,1015,4
1,32,43,1379,22
1,36,36,1303,4
1,40,21,843,4
1,44,19,837,4
1,46,17,784,90
1,47,37,1755,62
1,48,162,7829,205
2,1,846,1786,84
2,2,262,1079,29
2,3,124,779,25
2,4,536,4399,75
2,5,133,1406,33
2,6,60,747,11
2,7,48,687,12
2,8,265,4344,66
2,9,26,470,4
2,10,32,655,4
2,11,67,1503,32
2,12,399,9690,111
2,13,26,676,1
2,14,22,616,1
2,15,83,2503,12
2,16,338,10868,41
2,20,68,2755,36
2,23,16,746,9
2,24,130,6354,101
3,1,947,2885,76
3,2,511,3086,22
3,3,394,3564,26
3,4,366,4396,47
3,5,415,6259,111
3,6,302,5466,52
3,7,212,4476,62
3,8,227,5468,55
3,9,191,5188,80
3,10,215,6477,84
3,11,231,7652,23
3,12,418,15070,48
3,13,325,12707,61
3,14,440,18543,90
3,15,554,25026,105
3,16,606,29111,79
3,17,48,2458,8
3,18,46,2502,16
3,19,57,3257,11
3,20,89,5364,19
3,21,44,2804,25
3,22,73,4863,26
3,23,44,3045,10
3,24,88,6355,41
3,32,22,2116,2
4,1,147,637,71
5,1,40,215,13
6,1,47,287,2
7,1,36,259,9
8,1,681,5554,110
8,2,327,5287,159
8,3,203,4941,170
8,4,49,1606,59
8,5,50,2052,57
8,6,27,1316,41
8,7,56,3226,217
8,8,96,6264,229
9,1,126,1181,79
10,1,110,1144,49
11,1,345,3968,115
11,2,39,887,24
12,1,1837,22155,184
12,2,1025,24677,242
12,3,705,25473,307
12,4,588,28394,464
12,5,626,37672,373
12,6,418,30264,324
12,7,327,27612,312
12,8,262,25308,304
12,9,197,21515,422
12,10,230,27918,381
12,11,208,27894,436
12,12,181,26372,414
12,13,140,22246,483
12,14,175,29948,468
12,15,237,43034,457
12,16,286,55218,284
12,17,21,4324,44
12,18,28,6114,96
12,19,42,9792,219
12,20,29,7206,289
12,21,27,6932,122
12,22,37,10042,271
12,23,31,8727,170
12,24,28,8132,60
13,1,718,9481,747
13,2,231,6251,657
13,3,106,4366,504
13,4,66,3615,422
13,5,53,3671,475
13,6,23,1977,261
13,7,17,1652,240
14,1,215,3126,469
14,2,38,1125,184
15,1,79,1238,224
16,1,36,598,120
17,1,23,391,101
